,x,x_5,x_4,x_3,x_2,x_1,label,cites,author,title,year,source,publisher,articleurl,citesurl,gsrank,querydate,type,doi,issn,citationurl,volume,issue,startpage,endpage,ecc,citesperyear,citesperauthor,authorcount,age,abstract,fulltexturl,relatedurl,citation,screened_titles,notes,screened_abstracts
11,22,22,22,372,372,372,ref_020,0,LY Ojewale and PO Adejumo,"Relationship between diabetes risk factors and fasting blood glucose among civil servants in Ibadan, Nigeria",2014,… Journal of Diabetes in Developing Countries,Springer,https://link.springer.com/content/pdf/10.1007/s13410-013-0161-z.pdf,,20,31/07/2021 9:11,,10.1007/s13410-013-0161-z,NA,NA,NA,NA,NA,NA,0,0,0,2,7,"… glucose associated with obesity and dyslipidaemiain in a Chinese Population. BMC Public Health. 2010;10:139. 5. Nyenwe EA, Odia OJ, Ihekwaba AE, Ojule A, Babatunde S. Type 2 diabetes in adult Nigerians: a study of its prevalence and risk factors in Port Harcourt, Nigeria …",,"https://scholar.google.com/scholar?q=related:pb7tlaA9PDwJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","LY Ojewale et al. (2014) Relationship Between Diabetes Risk Factors and Fasting Blood Glucose among Civil Servants in Ibadan, Nigeria. <i>� Journal of Diabetes in Developing Countries</i>. ",selected,NA,selected
12,24,24,24,378,378,378,ref_09,0,"A A Sabir, S A Isezuo, A E Ohwovoriole",Dysglycaemia and its risk factors in an urban Fulani population of northern Nigeria.,2011,West African journal of medicine,NA,NA,NA,9,30/07/2021 22:28,Journal Article,,0189-160X,NA,30,5,325,330,0,0,0,3,10,"The Fulani are a normally nomadic people known for covering great distances on foot with a resulting lean physique and presumably low incidence of diabetes mellitus (DM). The occurrence of glucose intolerance among the urban Nigerian Fulani has not been reported. To determine the prevalence of dysglycaemia and its correlates among urban Fulani. Three hundred and eighty-nine Fulani were recruited from urban areas of Sokoto state using a multi-stage sampling technique. Using a modification of the WHO STEPS instrument, information on socio-demographic and anthropometric data was gathered. Either casual or fasting plasma glucose was obtained in all subjects while oral glucose tolerance test (OGTT) was performed in a randomly selected subset of 48 subjects. Glucose intolerance or dysglycaemia was defined using WHO criteria as the presence of diabetes mellitus, impaired fasting glycaemia (IFG) or impaired glucose tolerance (IGT). Classifications of adiposity as body mass index (BMI) and waist circumference (WC) and blood pressure were made using standard criteria. Of the 389 subjects studied, 190 (48.8%) were females while 199 (51.2%) subjects were males (c2=5.43, p> 0.05). The overall mean (SD) age of the sample population was 39.3 (14.2) years with the males [42.0 (13.8) years] being significantly older than the females [36.4 (14.1) years], p< 0.05. Eighteen (4.6%) subjects had previously undiagnosed type 2 diabetes mellitus while 37(16.9%) of the subjects had IFG and seven (14.6%) subjects had impaired glucose tolerance. The mean FPG was higher in the males [5.49 (1.7) mmol/l] than in the females [5.25 (1.9) mmol/l],p=0.33. The overall mean two-hour plasma post glucose-load was 6.5 (1.6) mmol/l; higher in the males [6.9 (2)] mmol/l than in the females [6.2 (1) mmol/l] , p=0.55.The mean age, BMI, waist circumference and blood pressure of subjects with dysglycaemia were significantly higher than those in subjects with normoglycaemia (p<0.05). Prevalence of dysglycaemia in the urban Fulani population of Northern Nigeria is high and much higher in the male than female Fulani. Occurrence of obesity and hypertension appears lower than in other Nigerian reports. Occurrence of dysglycaemia in the urban Fulani increases with age, weight and waist circumference. There is need to conduct a similar study among rural Fulani to better appreciate the environmental influence on these variables.",NA,NA,"A A Sabir, S A Isezuo, A E Ohwovoriole (2011) Dysglycaemia and Its Risk Factors in an Urban Fulani Population of Northern Nigeria. <i>West African Journal of Medicine</i>. ",selected,NA,selected
13,25,25,25,381,381,381,ref_012,42,"R Oluyombo and MA Olamoyegun, O Olaifa, ...",Cardiovascular risk factors in semi-urban communities in southwest Nigeria: Patterns and prevalence,2015,Journal of epidemiology …,Elsevier,https://www.sciencedirect.com/science/article/pii/S2210600614000732,"https://scholar.google.com/scholar?cites=10868602223120679793&as_sdt=2005&sciodt=0,5&hl=en",12,31/07/2021 4:58,HTML,,NA,NA,NA,NA,NA,NA,42,7,11,4,6,"… Cardiovascular risk factors in semi-urban communities in southwest Nigeria: Patterns and prevalence … Methods. This is a cross-sectional study of cardiovascular risk factors among semi-urban dwellers in Ekiti State, south-western, Nigeria …",https://www.sciencedirect.com/science/article/pii/S2210600614000732,"https://scholar.google.com/scholar?q=related:cQMhOiMI1ZYJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2015&as_yhi=2015&as_vis=1",R Oluyombo et al. (2015) Cardiovascular Risk Factors in Semi-Urban Communities in Southwest Nigeria: Patterns and Prevalence. <i>Journal of Epidemiology �</i>. ,selected,NA,selected
14,27,27,27,385,385,385,ref_009,76,O Adediran and AA Akintunde and AE Edo and OG Opadijo…,Impact of urbanization and gender on frequency of metabolic syndrome among native Abuja settlers in Nigeria,2012,Journal of …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0975358312330039,"https://scholar.google.com/scholar?cites=16602576873884789973&as_sdt=2005&sciodt=0,5&hl=en",9,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,76,8.44,15,5,9,"… the scourge of obesity, reduced physical inactivity, dietary indiscretion, and diabetes/impaired glucose tolerance are well … T. Urban area disadvantage and under 5 mortality in Nigeria: The effect … Metabolic syndrome: comparative analysis of occurrence in Nigerian hypertensives …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3425024/,"https://scholar.google.com/scholar?q=related:1awE3LMzaOYJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",O Adediran et al. (2012) Impact of Urbanization and Gender on Frequency of Metabolic Syndrome among Native Abuja Settlers in Nigeria. <i>Journal of �</i>. ,selected,NA,selected
15,29,29,29,390,390,390,ref_038,15,K Uwanuruochi and OJ Ukpabi and CN Onwuta…,"Cardiovascular risk factors in adult staff of Federal Medical Centre, Umuahia: a comparison with other Nigerian studies",2013,West Afr J …,researchgate.net,https://www.researchgate.net/profile/Kelechukwu-Uwanuruochi/publication/260040732_Cardiovascular_Risk_Factors_in_Adult_Staff_of_Federal_Medical_Centre_UmuahiaA_Comparison_with_other_Nigerian_Studies/links/5a9c5806a6fdcc3cbacd529c/Cardiovascular-Risk-Factors-in-Adult-Staff-of-Federal-Medical-Centre-UmuahiaA-Comparison-with-other-Nigerian-Studies.pdf,"https://scholar.google.com/scholar?cites=9925884965449123781&as_sdt=2005&sciodt=0,5&hl=en",38,31/07/2021 9:11,PDF,,NA,NA,NA,NA,NA,NA,15,1.88,4,4,8,"… population but this included those with impaired fasting glucose … IS, Yusuf R. Lipid abnormalities: A case study of Ahmadu Bello University Teaching Hospital, Zaria, Nigeria … O, Onwuamaeze I, Oli J, Udeozo K. Serum cholesterol and high density lipoprotein in Nigerian diabetics …",https://www.researchgate.net/profile/Kelechukwu-Uwanuruochi/publication/260040732_Cardiovascular_Risk_Factors_in_Adult_Staff_of_Federal_Medical_Centre_UmuahiaA_Comparison_with_other_Nigerian_Studies/links/5a9c5806a6fdcc3cbacd529c/Cardiovascular-Risk-Factors-in-Adult-Staff-of-Federal-Medical-Centre-UmuahiaA-Comparison-with-other-Nigerian-Studies.pdf,"https://scholar.google.com/scholar?q=related:xUf8VsnTv4kJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2011&as_yhi=2015&as_vis=1","K Uwanuruochi et al. (2013) Cardiovascular Risk Factors in Adult Staff of Federal Medical Centre, Umuahia: a Comparison with Other Nigerian Studies. <i>West Afr j �</i>. ",selected,NA,selected
16,30,30,30,396,396,396,ref_12,0,Victor Maduabuchi Oguoma and Ezekiel Uba Nwose and Timothy Chas Skinner and Kester Awharentomah Digban and Innocent Chukwu Onyia and Ross Stuart Richards,Prevalence of cardiovascular disease risk factors among a Nigerian adult population: relationship with income level and accessibility to CVD risks screening.,2015,BMC public health,NA,NA,NA,12,30/07/2021 22:26,Journal Article,10.1186/s12889-015-1709-2,1471-2458,NA,15,NA,397,NA,0,0,0,6,6,"In Nigeria, reports on the prevalence of modifiable cardiovascular disease (CVD) risk factors are scarce. In addition, socio-economic status (SES), an important component of the socioeconomic gradient in CVD and its risk factors has not been clearly elucidated. This study sought to assess the prevalence of CVD risk factors and how the difference in prevalence and accessibility to CVD risk screening across income levels and educational backgrounds contributes to disease diagnosis in rural and urban Nigerian adults. A cross sectional study was carried out on a sociocultural ethnic group of persons living in rural and urban settings. All participants were aged ≥ 18 years. The WHO STEPS questionnaire was used to document the demographics, history of previous medical check-up or screening, anthropometric and biochemical measurements of the participants. Average income level and educational status were indicators used to assess the impact of SES. Multivariate analyses were performed to assess any difference between the geographical locations and SES indicators, and prevalence of CVD risk factors and access to CVD risk screening. The 422 participants (273 females and 149 males) [corrected] had mean age (± standard deviation) of 38.3 ± 20.5 and 42.9 ± 20.7 years, respectively. Only total cholesterol (p = 0.001), triglyceride (p = 0.005), high density lipoprotein cholesterol (HDL) (p < 0.0001), body mass index (BMI) (p = 0.03) and average income rate (p = 0.01) showed significant difference between gender groups. Overall prevalence of prediabetes (4.9%), diabetes (5.4%), hypertension (35.7%), low HDL (17.8%), hypertriglyceridemia (23.2%), hypercholesterolemia (38.1%) and central obesity of 52.2% was recorded. Except between total cholesterol (p = 0.042) and HDL (p = 0.017), other CVD risk factors did not show a statistical significance across income levels. Participants with 'university and postgraduate education' had higher access to blood pressure and blood glucose screening compared to other educational groups; and this showed a statistical significance. This study has shown that a significant number of modifiable CVD risk factors exist in the rural and urban migrants of an adult Nigerian population. While income level did not affect the CVD risk factor prevalence, it did affect accessibility to CVD risk screening. There is a need for access to diagnosis of modifiable risk factors at all levels of society.",NA,NA,Victor Maduabuchi Oguoma et al. (2015) Prevalence of Cardiovascular Disease Risk Factors among a Nigerian Adult Population: Relationship with Income Level and Accessibility to Cvd Risks Screening. <i>Bmc Public Health</i>. ,selected,NA,selected
17,42,42,42,568,568,568,ref_180,0,LY ABUBAKAR,PREVALENCE AND CORRELATES OF DIABETES MELLITUS AND GLUCOSE INTOLERANCE AMONG ADULTS IN KANO METROPOLIS,2012,Faculty of INTERNAL MEDICINE,dissertation.npmcn.edu.ng,http://dissertation.npmcn.edu.ng/index.php/FMCP/article/view/700,,180,30/07/2021 23:01,,,NA,NA,NA,NA,NA,NA,0,0,0,1,9,"… included Impaired Glucose Tolerance (IGT) as well as Gestational Diabetes Mellitus (GDM) … Figures from different parts of Nigeria includes Jos, North Central Nigeria by Puepet was 3.2%as at 199628 ; and Ohwovoriole et al in Lagos a Western Nigerian State put the …",https://dissertation.npmcn.edu.ng/index.php/FMCP/article/download/700/504,"https://scholar.google.com/scholar?q=related:h99RP50IrjcJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2009&as_yhi=2012&as_vis=1",LY ABUBAKAR (2012) Prevalence and Correlates of Diabetes Mellitus and Glucose Intolerance among Adults in Kano Metropolis. <i>Faculty of Internal Medicine</i>. ,selected,NA,selected
18,45,45,45,1069,1069,1069,ref_001,29,"CB Nwatu and EN Ofoegbu and CN Unachukwu, ...",Prevalence of prediabetes and associated risk factors in a rural Nigerian community,2016,International journal of …,Springer,https://link.springer.com/article/10.1007/s13410-015-0401-5,"https://scholar.google.com/scholar?cites=13959323951546093188&as_sdt=2005&sciodt=0,5&hl=en",1,31/07/2021 5:16,,10.1007/s13410-015-0401-5,NA,NA,NA,NA,NA,NA,29,5.8,7,4,5,"… determine the prevalence and risk factors for prediabetes in a rural Nigerian population … Ihuokpara, a rural community in Nkanu East Local Government Area of Enugu State, Nigeria … of impaired fasting glucose (IFG) was 9.2 %, while that of impaired glucose tolerance (IGT) was …",https://rssdi.in/new/pdf/International%20Journal%20of%20Diabetes%20in%20Developing%20Countries%20Volume%2036%20-%20ISSUE%20-%202%20-%20April%20%20-%20June%202016.pdf#page=63,"https://scholar.google.com/scholar?q=related:hM6BnCx7ucEJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1",CB Nwatu et al. (2016) Prevalence of Prediabetes and Associated Risk Factors in a Rural Nigerian Community. <i>International Journal of �</i>. ,selected,NA,selected
19,46,46,46,1071,1071,1071,ref_016,1,"OA Adegoke and BO Emma‑Okon and MK Fasanya, ...",Behavioural and anthropometric risk factors for diabetes mellitus among newly admitted undergraduates in a Nigerian University,2017,Nigerian journal of …,ajol.info,https://www.ajol.info/index.php/njcp/article/view/166406,"https://scholar.google.com/scholar?cites=13046503306532264658&as_sdt=2005&sciodt=0,5&hl=en",16,31/07/2021 5:16,,,NA,NA,NA,NA,NA,NA,1,0.25,0,4,4,… 1248 Nigerian Journal of Clinical Practice ¦ Volume 20 ¦ Issue 10 ¦ October 2017 … Reports from Italy put the prevalence of DM and impaired glucose tolerance among adolescents and children … prevalence of 3.5% of elevated fasting blood glucose among young adults in Nigeria …,https://www.ajol.info/index.php/njcp/article/view/166406/155840,"https://scholar.google.com/scholar?q=related:0prQSqJ9DrUJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2017&as_vis=1",OA Adegoke et al. (2017) Behavioural and Anthropometric Risk Factors for Diabetes Mellitus among Newly Admitted Undergraduates in a Nigerian University. <i>Nigerian Journal of �</i>. ,selected,NA,selected
20,47,47,47,1072,1072,1072,ref_01,0,Casmir E Amadi and Tim P Grove and Amam C Mbakwem and Obianuju B Ozoh and Oyewole A Kushimo and David A Wood and Michael Akinkunmi,"Prevalence of cardiometabolic risk factors among professional male long-distance bus drivers in Lagos, south-west Nigeria: a cross-sectional study.",2018,Cardiovascular journal of Africa,NA,NA,NA,1,30/07/2021 22:30,Journal Article,10.5830/CVJA-2018-006,1680-0745,NA,29,2,106,114,0,0,0,7,3,"Professional drivers are known to be at high risk of cardiovascular disease (CVD). This study was carried out to highlight these risk factors and their predictors among male long-distance professional bus drivers in Lagos, south-west Nigeria, with a view to improving health awareness in this group. Socio-demographic data, anthropometric indices, blood pressure, fasting plasma blood glucose levels and lipid and physical activity profiles of 293 drivers were measured. Mean age of the study population was 48 ± 9.7 years; 71.0 and 19.5% of the drivers used alcohol and were smokers, respectively; and 50.9% were physically inactive. The prevalence of overweight and obesity was 41.7 and 21.1%, respectively, while 39.7 and 13.9% were hypertensive and diabetic, respectively. Ninety (31.3%) subjects had impaired fasting glucose levels while 56.3% had dyslipidaemia. Predictors of hypertension were age and body mass index (BMI). BMI only was a predictor of abnormal glucose profile. Professional male long-distance bus drivers in this study showed a high prevalence of a cluster of risk factors for CVD.",NA,NA,"Casmir E Amadi et al. (2018) Prevalence of Cardiometabolic Risk Factors among Professional Male Long-Distance Bus Drivers in Lagos, South-West Nigeria: a Cross-Sectional Study. <i>Cardiovascular Journal of Africa</i>. ",selected,NA,selected
21,48,48,48,1079,1079,1079,ref_016,1,OP Ozomma and EC Ogbodo and RA Analike…,"Prevalence of Prediabetes and the Associated Risk of Kidney Disease in Apparently Healthy Subjects in Nnewi, Anambra State, Nigeria",2017,Journal of …,conscientiabeam.com,http://www.conscientiabeam.com/pdf-files/med/99/JOD-2017-4(2)-27-33.pdf,"https://scholar.google.com/scholar?cites=8390634024340825086&as_sdt=2005&sciodt=0,5&hl=en",16,31/07/2021 9:26,PDF,,NA,NA,NA,NA,NA,NA,1,0.25,0,4,4,"… prevalence of prediabetes and associated risk factors in a rural Nigerian community,"" International … Prevalence of metabolic syndrome in a rural community in Nigeria,"" Metabolic Syndrome … 26] A. Gupta and R. Gupta, ""Prevalence of diabetes, impaired fasting glucose and insulin …",http://www.conscientiabeam.com/pdf-files/med/99/JOD-2017-4(2)-27-33.pdf,"https://scholar.google.com/scholar?q=related:_iMkjTCFcXQJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","OP Ozomma et al. (2017) Prevalence of Prediabetes and the Associated Risk of Kidney Disease in Apparently Healthy Subjects in Nnewi, Anambra State, Nigeria. <i>Journal of �</i>. ",selected,NA,selected
22,49,49,49,1093,1093,1093,ref_002,4,SO Martins and OF Folasire and AE Irabor,"Prevalence and predictors of prediabetes among administrative staff of a tertiary health centre, southwestern Nigeria",2017,Annals of Ibadan postgraduate …,ajol.info,https://www.ajol.info/index.php/aipm/article/view/166509,"https://scholar.google.com/scholar?cites=10442449894657690899&as_sdt=2005&sciodt=0,5&hl=en",2,30/07/2021 20:55,,,NA,NA,NA,NA,NA,NA,4,1,1,3,4,"Introduction: Prediabetes is a condition in which individuals have blood glucose levels higher than normal but not high enough to be classified as diabetes mellitus. Inadequate moderate-intensity physical activity, amidst other risk factors, is a well-documented risk factor …",https://www.ajol.info/index.php/aipm/article/view/166509/155944,"https://scholar.google.com/scholar?q=related:Ew3jS9oI65AJ:scholar.google.com/&scioq=prediabetes+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","SO Martins et al. (2017) Prevalence and Predictors of Prediabetes among Administrative Staff of a Tertiary Health Centre, Southwestern Nigeria. <i>Annals of Ibadan Postgraduate �</i>. ",selected,NA,selected
23,50,50,50,1095,1095,1095,ref_039,4,"BA Ezeala-Adikaibe, N Mbadiwe, C Okwara…",Diabetes and Pre-Diabetes among Adults in an Urban Slum in South East Nigeria,2018,Journal of Diabetes …,scirp.org,https://www.scirp.org/html/4-4300493_87921.htm?pagespeed=noscript,"https://scholar.google.com/scholar?cites=916113096853046924&as_sdt=2005&sciodt=0,5&hl=en",39,31/07/2021 6:50,HTML,,NA,NA,NA,NA,NA,NA,4,1.33,1,4,3,"… Impaired Fasting Glucose and Impaired Glucose Tolerance: Implications for Care … Arodiwe, E., Onodugo, O. and Okafor, C. (2011) High Prevalence and Low Awareness of Hypertension in a Market Population in Enugu, Nigeria … Nigerian Journal of Clinical Practice, 17, 743-749 …",https://www.scirp.org/html/4-4300493_87921.htm?pagespeed=noscript,"https://scholar.google.com/scholar?q=related:jEYCAAKwtgwJ:scholar.google.com/&scioq=%22impaired+glucose+tolerance%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2019&as_vis=1","BA Ezeala-Adikaibe, N Mbadiwe, C Okwara… (2018) Diabetes and Pre-Diabetes among Adults in an Urban Slum in South East Nigeria. <i>Journal of Diabetes �</i>. ",selected,NA,selected
24,51,51,51,1099,1099,1099,ref_03,0,Titilope Modupe Dokunmu and Omolara Faith Yakubu and Abiodun Humphrey Adebayo and Grace Iyabo Olasehinde and Shalom Nwodo Chinedu,Cardiovascular Risk Factors in a Suburban Community in Nigeria.,2018,International journal of hypertension,NA,NA,NA,3,30/07/2021 22:26,Journal Article,10.1155/2018/6898527,2090-0384,NA,2018,NA,6898527,NA,0,0,0,5,3,"The burden of hypertension, a silent killer, continues to increase in low- and middle-income countries. This study evaluated blood pressure (BP) in healthy adults to determine their risk of developing hypertension and to reduce associated morbidity of the disease. Overall, 182 subjects aged >16 years participated in the study. Systolic (SBP) and diastolic blood pressure (DBP) was measured after a resting period using mercury sphygmomanometer. Random blood glucose (RBG) concentration was also determined. Regression models were used to determine risk of high BP with p values < 0.05 indicating statistical difference. Prehypertension was present in 36.8% population and high BP in 31% individuals with hypertensive symptoms. DBP ≥ 90 mmHg was prevalent in the undiagnosed group, while diabetes comorbidity was detected in only 4 individuals. High BP or diabetes was not detected in those <20 year olds. Age > 35 years was an independent risk (likelihood ratio: 22.56, p < 0.0001); this increases to 26.48 (p < 0.0001) in the presence prediabetes and RBG > 100 mg/dl. Undiagnosed hypertension rate is high in the study area, and urgent interventions for large scale screening and management of the disease are required to reduce the burden of hypertension in Nigeria.",NA,NA,Titilope Modupe Dokunmu et al. (2018) Cardiovascular Risk Factors in a Suburban Community in Nigeria. <i>International Journal of Hypertension</i>. ,selected,NA,selected
25,55,55,55,1117,1117,1117,ref_055,31,FA Olatona and OO Onabanjo and RN Ugbaja…,Dietary habits and metabolic risk factors for non-communicable diseases in a university undergraduate population,2018,Journal of Health …,Springer,https://link.springer.com/article/10.1186/s41043-018-0152-2,"https://scholar.google.com/scholar?cites=4995277143226502025&as_sdt=2005&sciodt=0,5&hl=en",55,31/07/2021 9:26,HTML,10.1186/s41043-018-0152-2,NA,NA,NA,NA,NA,NA,31,10.33,8,4,3,"… major causes of morbidity and mortality [3]. In South Western Nigeria, for example … 4, 9, 10], the student populations were not sufficiently representative of the Nigerian young adult … The prevalence of impaired fasting glucose (pre-diabetes) was 1.0%; nobody had diabetes (Table 3 …",https://link.springer.com/article/10.1186/s41043-018-0152-2,"https://scholar.google.com/scholar?q=related:icukfBjKUkUJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",FA Olatona et al. (2018) Dietary Habits and Metabolic Risk Factors for Non-Communicable Diseases in a University Undergraduate Population. <i>Journal of Health �</i>. ,selected,NA,selected
26,56,56,56,1120,1120,1120,ref_058,0,M Asuquo and MBHF FMCOph and OAO FMCOph…,Cardiovascular risk factors and electrocardiographic pattern in two rural communities of Osun State in South West Nigeria,NA,m.zuiqilu.com,,https://m.zuiqilu.com/scholarly-articles/cardiovascular-risk-factors-and-electrocardiographic-pattern-in-two-rural-communities-of-osun-state-in-south-west-nigeri.pdf,,58,31/07/2021 9:26,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,4,NA,"… close to the mean age of 42.1 ± 21.6 years of the subjects in one of the earlier Nigerian studies (18 … the subjects, lower prevalence was reported in rural areas in the South West and South East of Nigeria (2.5%, 4.8 … Impaired fasting glucose was also present in 14.8% of the people …",https://m.zuiqilu.com/scholarly-articles/cardiovascular-risk-factors-and-electrocardiographic-pattern-in-two-rural-communities-of-osun-state-in-south-west-nigeri.pdf,"https://scholar.google.com/scholar?q=related:IF9SFDBZf18J:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",M Asuquo et al. (NA) Cardiovascular Risk Factors and Electrocardiographic Pattern in Two Rural Communities of Osun State in South West Nigeria. <i>M.zuiqilu.com</i>. ,selected,NA,selected
27,59,59,59,1136,1136,1136,ref_074,6,"I Aladeniyi and OV Adeniyi, O Fawole…","The prevalence and correlates of pre-diabetes and diabetes mellitus among public category workers in Akure, Nigeria",2017,The Open Public …,openpublichealthjournal.com,https://openpublichealthjournal.com/VOLUME/10/PAGE/167/FULLTEXT/,"https://scholar.google.com/scholar?cites=4357774043004516361&as_sdt=2005&sciodt=0,5&hl=en",74,31/07/2021 9:26,HTML,,NA,NA,NA,NA,NA,NA,6,1.5,2,4,4,… Pre-diabetes is defined as impaired fasting glucose (IFG) of 5.6 - 6.9mmol/L and/or … 2 diabetes mellitus and impaired fasting blood glucose in urban south western Nigeria … Prevalence of cardiovascular disease risk factors among a Nigerian adult population: relationship with …,https://openpublichealthjournal.com/VOLUME/10/PAGE/167/FULLTEXT/,"https://scholar.google.com/scholar?q=related:CbizVGfseTwJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1","I Aladeniyi et al. (2017) The Prevalence and Correlates of Pre-Diabetes and Diabetes Mellitus among Public Category Workers in Akure, Nigeria. <i>The Open Public �</i>. ",selected,NA,selected
28,62,62,62,1147,1147,1147,ref_085,16,R Oluyombo and PO Akinwusi and MA Olamoyegun…,Clustering of cardiovascular risk factors in semi-urban communities in south-western Nigeria,2016,… journal of Africa,journals.co.za,https://journals.co.za/doi/abs/10.5830/CVJA-2016-024,"https://scholar.google.com/scholar?cites=678160783609023273&as_sdt=2005&sciodt=0,5&hl=en",85,31/07/2021 9:26,,10.5830/CVJA-2016-024,NA,NA,NA,NA,NA,NA,16,3.2,4,4,5,"… Findings from south-western and southern Nigerian people show a trend towards a high risk of developing major cardiovascular events over a … There is a high rate of undiagnosed cardiovascular risk factors in Nigeria and the sub-region.8,9 The earlier … impaired fasting glucose …",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5377874/,"https://scholar.google.com/scholar?q=related:Kcudv6NPaQkJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",R Oluyombo et al. (2016) Clustering of Cardiovascular Risk Factors in Semi-Urban Communities in South-Western Nigeria. <i>� Journal of Africa</i>. ,selected,NA,selected
29,63,63,63,1167,1167,1167,ref_105,2,CB Nwatu and EE Young and CC Okwara…,Concurrent Prediabetes and Prehypertension in a Rural Community in South East Nigeria,2017,Journal of Advances …,journaljammr.com,http://journaljammr.com/index.php/JAMMR/article/view/11380,"https://scholar.google.com/scholar?cites=17461943666058959786&as_sdt=2005&sciodt=0,5&hl=en",105,31/07/2021 9:26,,,NA,NA,NA,NA,NA,NA,2,0.5,1,4,4,"… HTN) and associated cardio-metabolic risk in apparently healthy, rural Nigerian adults is … which typically, is sparse in low and middle- income countries such as Nigeria … dysfunction, pro- coagulant state and inflammation [4]. It comprises impaired fasting glucose (IFG), impaired …",http://journaljammr.com/index.php/JAMMR/article/download/11380/20634,"https://scholar.google.com/scholar?q=related:qptTNz9JVfIJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2018&as_vis=1",CB Nwatu et al. (2017) Concurrent Prediabetes and Prehypertension in a Rural Community in South East Nigeria. <i>Journal of Advances �</i>. ,selected,NA,selected
30,67,67,67,1815,1815,1815,ref_012,0,"C Ejike and GN Onyeji, M Odoh and CM Nwali…","Double Jeopardy: Preponderance of Impaired Glucose Homeostasis and Overweight/Obesity Among Adult Females in Ikwo, Ebonyi State",2019,J Obes Chronic …,jobesitydiseases.com,https://jobesitydiseases.com/jocd/articles/v3n1/jocd-025-chukwunonso-e-c-c-ejike.pdf,,12,31/07/2021 9:58,PDF,,NA,NA,NA,NA,NA,NA,0,0,0,5,2,"… 7 mmol/L), or self-reported use of glucose lowering medication(s). Impaired fasting glucose (IFG) was … overweight/obesity were studied in a population of adults in Ikwo LGA, Ebonyi State, Nigeria … disease and BMI-metabolic-risk sub-phenotypes in an adult Nigerian population …",https://jobesitydiseases.com/jocd/articles/v3n1/jocd-025-chukwunonso-e-c-c-ejike.pdf,"https://scholar.google.com/scholar?q=related:7bt1edXH1KgJ:scholar.google.com/&scioq=%22impaired+fasting+glucose%22+nigeria&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2020&as_vis=1","C Ejike et al. (2019) Double Jeopardy: Preponderance of Impaired Glucose Homeostasis and Overweight/Obesity among Adult Females in Ikwo, Ebonyi State. <i>j Obes Chronic �</i>. ",selected,NA,selected
